"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Hampton city, VA"	"51650"	3463	270079	12.82
	"Newport News city, VA"	"51700"	5531	361213	15.31
	"Norfolk city, VA"	"51710"	6957	489818	14.20
	"Richmond city, VA"	"51760"	6059	450202	13.46
	"Virginia Beach city, VA"	"51810"	11635	903037	12.88
	"Unidentified Counties, VA"	"51999"	77043	7265879	10.60
	"Benton County, WA"	"53005"	5322	391857	13.58
	"Clark County, WA"	"53011"	11185	941661	11.88
	"Cowlitz County, WA"	"53015"	2580	212070	12.17
	"King County, WA"	"53033"	51322	4338619	11.83
	"Kitsap County, WA"	"53035"	6126	531225	11.53
	"Pierce County, WA"	"53053"	23053	1738076	13.26
	"Skagit County, WA"	"53057"	2944	249300	11.81
	"Snohomish County, WA"	"53061"	19924	1589253	12.54
	"Spokane County, WA"	"53063"	12040	1005224	11.98
	"Thurston County, WA"	"53067"	6272	555810	11.28
	"Whatcom County, WA"	"53073"	4442	438204	10.14
	"Yakima County, WA"	"53077"	7724	499829	15.45
	"Unidentified Counties, WA"	"53999"	25133	2202615	11.41
	"Berkeley County, WV"	"54003"	2754	228445	12.06
	"Kanawha County, WV"	"54039"	3897	369534	10.55
	"Unidentified Counties, WV"	"54999"	31103	3048980	10.20
	"Brown County, WI"	"55009"	6659	522453	12.75
	"Dane County, WI"	"55025"	11935	1067689	11.18
	"Fond du Lac County, WI"	"55039"	2097	204692	10.24
	"Kenosha County, WI"	"55059"	3812	336704	11.32
	"La Crosse County, WI"	"55063"	2376	236396	10.05
	"Marathon County, WI"	"55073"	3086	271335	11.37
	"Milwaukee County, WI"	"55079"	27085	1903533	14.23
	"Outagamie County, WI"	"55087"	4524	370585	12.21
	"Racine County, WI"	"55101"	4702	391211	12.02
	"Rock County, WI"	"55105"	3914	323929	12.08
	"Sheboygan County, WI"	"55117"	2461	230771	10.66
	"Walworth County, WI"	"55127"	1884	206041	9.14
	"Washington County, WI"	"55131"	2622	269397	9.73
	"Waukesha County, WI"	"55133"	7871	799045	9.85
	"Winnebago County, WI"	"55139"	3738	340300	10.98
	"Unidentified Counties, WI"	"55999"	42824	4100110	10.44
	"Unidentified Counties, WY"	"56999"	14289	1164816	12.27
"Total"			7801375	648846691	12.02
"---"
"Dataset: Natality, 2016-2017 expanded"
"Query Parameters:"
"Group By: County of Residence"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2019 3:16:50 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2016-2017, on CDC"
"WONDER Online Database, October 2018. Accessed at http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2019 3:16:50"
"PM"
"---"
Caveats:
"1. Each birth record represents one living baby."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
"location and year applies to the denominator population."
"4. Birth rates and fertility rates are calculated using the following populations: The populations for year 2017 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 21, 2018; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 27, 2018. The"
"populations for year 2016 are from the postcensal single-race series of July 1st estimates of the resident population, released"
"by Census Bureau on June 22, 2017; and the postcensal bridged-race series of July 1st estimates of the resident population,"
"released by NCHS on June 26, 2017. More information:"
"http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Denominator-Population-Sources."
"5. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code 24005)."
"6. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
"7. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"8. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"9. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"10. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"11. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
